Content,Label
"اتمنى من الملك يتراجع عن قرار قيادة المرأة
 سقطت عليا وحدة سقطة شفت الموت قدامي بس ربك ستر ، بعدين اكتشفت انها كانت ناوية تغير المسار بس🙂💔",neg
❗️❗️❗️❗️ضد قيادة المراه وضد عملها اذا كان مختلطاً❗️❗️❗️❗️ #معاوضدعملوقيادهالمراه,neg
"@Z1400F1428 اكثر الحوادث اللي تصير الان 
 بسبب قيادة المرأة للسيارة",neg
@o1100000 اول شي الحمدلله علي سلامتك وانا ضد قياده المراه,neg
"@moon201421 ضد قيادة المرأة عندكم لأن مجتمعكم مجتمع رجولي و حتى رأيت كيفية القيادة يعني فيه خطر عليكم ، في فرنسا لا أخفي عليكم نعن للقيادة لأن في الحافلات تكثر الفتن ...",neg
"@marzook4867 ضد قيادة المرأه
 قال تعالى(وَقَرْنَ فِي بُيُوتِكُنَّ",neg
@layaoba اي نعم انا ضد قيادة المرأه,neg
"@KingSalman سيدي الكريم نرجو من الله ثم من سموكم الكريم ب أغلاق ملف
 #قيادة_المرأة_للسيارة لسنا معارضين بقضاء حوائجهم ولكن أصبحنا نمشي في الطرقات دون أطمئنان أصيبت أرواح وأتلفت مركبات جديده تتجاوز قيمتها 80_150 ألف إلى متى ونحن #نتهرب_من_الأقدار_البشريه #تكفا_يبوفهد",neg
"@JUST_FOR_ALL4H @ksm949 الجميع شاهد المرأة التي اقتحمت بسيارتها صالون حلاقة ، مما نتج عنه وفاة أحد الأشخاص !
 كانت هذه المرأة .. قبل أسابيع .. معززة مكرمة في بيتها ، و لكن انجرافها لمثل هذه الدعوات جعلها تحمل وزر إزهاق نفس بريئة !!
 نسأل الله السلامة
 
 #كذبتم_الشعب_ضد_قياده_المراه",neg
@i5ii8 والله انا كنت ولازلت ضد قيادة المرأه واختلاف الرأي لايفسد للود قضيه,neg
"@enezi22 أتمنى ترجع الهيئه ، ويلغي قياده المراه أتمنى.",neg
@DANIA_SINDI لا مو كدا بس انا من زمان ضد قيادة المرأة في رأيي حتكون سلبياتها أكتر من إيجابياتها,neg
@btola_sahli7 كل الشعب السعودي ولله الحمد ضد الاختلاط بين الرجال والنساء وضد قيادة المرأة للسيارة لأن الشعب السعودي شعب إسلامي قد تربى على الكتاب والسنة النبوية المطهرة,neg
"@btola_sahli7 قيادة المرأة للسيارة محرمة باتفاق العلماء 
 راجع فتاوى اللجنة الدائمة للبحوث العلمية والإفتاء بقيادة ابن باز رحمه الله",neg
@BsheerSlamh مع الاسف اكبر غلط قيادة المراة .. الشوارع ماهي ناقصه زحمه ولاحوادث,neg
@Breakingkw قيادة المرأة للمجتمعات و انتشار الدياثة هو سبب كل الفتن بين الشعوب . مكان المرأة هو مطبخ البيت فقط و معاهم الذكوريين النسويين.,neg
"@al_sunh @33_Brstej المجتمع اليوم يواجه أزمة أخلاق وحرب قوية ضد تشوية الصورة للأسره المسلمه
 فمن طالب سابقاٌ بكشف الوجه وقد تحقق اليوم سيطالب غدا بالغاء العباية الساتره وكلها مسألة وقت ليس إلا وأول باب لهم قيادة المرأه
 
 فأن لم يسن قانون رسمي سيتطور الأمر للتحرشات والازمات الشبابية",neg
@ahmedsl12 هاذي نتيجة قيادة المرأة للمجتمعات العربية . المرأة مكانها مطبخ البيت فقط بدل هالدياثة,neg
"@abohmad1397 الله يسامحهن 
 
 (اغلب)من قادن غبيات وبعضهن منحلات
 
 هن عندهم رجال وش لهم بالتعب والمشاوير 
 
 احد اقاربي من الذين يؤيدون #قيادة_المرأة_للسيارة قال اركبي مع بناتي قلت حاشا لله انا عندي سواقين وهم زوجي وابنائي ولله الحمد
 
 ولو ماعندي ابناء سأجلس واقرّ ببيتي ولا اتعرض للاختلاط بالرجال.",neg
"@5a1di @aalodah ابوه اللي كان يقول مجالسة البنت مع ابيها يمكن تغري الاب ويتحرش فيها 
 
 ولا اللي كان يدعو الشباب للجهاد وقتل الناس 
 
 والتحريض ضد قيادة المرأه وانها بتخلي الشباب يغتصبونها 
 اتمنى ترجمة مقاطع هالدجال ونشرها للعالم",neg
"#والله_لاصدمك
 قيادة المرأة يسبب فتنة ومشاكل وهذا الشي معروف..نتمنى الغاء القرار",neg
"#والله_لاصدمك
 سبق وحذر المشايخ والمصلحين والفضلاء من فرض قيادة المراه
 
 لإنه باب فساد لإنه باب فتنه لإنه سيتسبب التحرش وتفكك الأسر وهذا ماشاهدناه من صدور القرار لارضاء الغرب
 
 نطالب بإلغاء هذا القرار الكارثي رضى من رضى فالمصلحه العامه فوق الجميع وهي الأهم وهذا ماتؤكده احد الحقوقيات https://t.co/94zrsJsmEZ",neg
"#مع_او_ضد_عمل_وقياده_المراه
 مع العمل اذا هو مكان محترم وغير مختلط 
 
 ضد قيادة المراءه وبقووه والله والله ٨٠٪ من الشعب السعودي الأصيل رافضين",neg
"#مع_او_ضد_عمل_وقياده_المراه
 لست مع قيادة المراه فالمراه ماتحتاج 
 للقياده لان البيت اخذ كل وقتها 
 وفيه من ياتي بالطلبات الله يحفظهم 
 وثاني تكثر السيارات والعادم 
 يلوث بيئتنا الجميله ويقطع رزق 
 السواقين اللي رزقهم على المشاوير",neg
"#مع_او_ضد_عمل_وقياده_المراه
 طبعا ضد واي مواطن شريف راح يقول ضد قيادة المراه ليش؟ لانه شريف واللي مع القياده غير شريف وشكرا",neg
"#مع_او_ضد_عمل_وقياده_المراه
 طبعاً الكل يعرف ان الشعب رافض قيادة المرآه اصلاً كأغلبيه ، ودليلي في هذا هو
 ندرة النساء اللي يسوقون سيارات 
 لدرجة إني من سكان الرياض والله من يوم
 القرار ماشفت ولا وحده تسوق 
 الا بالجوالات 
 نحن مجتمع قبائلي ويجب ان يفهم الجميع
 ذلك 
 اما العمل عادي حقها",neg
"#مع_او_ضد_عمل_وقياده_المراه
 ضد وبِـكُل تاكيد ي اخوه .. المرأة ليس لها عمل إلا في بيتِها ومطبخِها وليس لها قِياده إلا قِياده رأسِ زوجِها .",neg
"#مع_او_ضد_عمل_وقياده_المراه
 ضد قيادة المرأه الى ان يتم غسل العقول المريضه وتنظيف الشوارع من الوحوش المفترسه.",neg
"#مع_او_ضد_عمل_وقياده_المراه
 ضد طبعا المراه مالها الا بيتها والشيطان يزينها خطوه خطوه اول شي تعمل وبعدين تقول احتاج سياره اداوم وبعدين دورات فالخارج وهكذا 
 
 كم نسمع من القصص والماسي بسبب عمل المراه 
 
 قيادة المراه الحقيقه هي قيادتها لمنزلها",neg
"#مع_او_ضد_عمل_وقياده_المراه
 ضد العمل المختلط واللي ماله داعي وضد قيادة المراه لانها لاداعي له يكفي توفير نقل عام وخلاص",neg
"#مع_او_ضد_عمل_وقياده_المراه
 تركت عملها الأساسي وهي عمود البيت
 ومربية الجيل واصبح همها قيادة السيارة وكشف الوجه والتجول بالشوارع",neg
"#مع_او_ضد_عمل_وقياده_المراه
 انا ضد قياده المراه عشان اخاف من التريلات العمل انا معاه وبقوه🙄🙂🙂",neg
"#مع_او_ضد_عمل_وقياده_المراه
 انا ضد قيادة المراه✋️",neg
"#مع_او_ضد_عمل_وقياده_المراه
 الي ورا قيادة المرأه للسياره مو همه المرأه وقضاء حاجاتها
 له هدف خبيث وخسيس اسأل الله ان يكشف سره ويجعل كيده في نحره 
 ويطهر البلاد من شره.",neg
"#مع_او_ضد_عمل_وقياده_المراه
 المشكلة أن قيادة المرأة صارت هي القشة التي قصمت ظهر البعير ومثل انفراط عقد اللؤلؤ حيث إنها مشروعة في الأصل لكن جلبت معها الاختلاط والسفور بحكم الحرية والموسيقى والتبرج والسينما وكل هذا مع كف الهيئة عن عملها فالله خيرٌ حافظاً وهو أرحم الراحمين 🤲🤲",neg
"#مع_او_ضد_عمل_وقياده_المراه
 المراءة العاقلة عملها في بيتها
 وقيادتها لمنزلها خير من قيادة ألف بنتلي",neg
"#مع_او_ضد_عمل_وقياده_المراه
 المراءة العاقلة عملها في بيتها
 وقيادتها لمنزلها خيرُ من قيادة ألف بنتلي🚘
 
 طبعاً هذا رأيي وبقووووووووه 💪
 الله يحفظ الشعب من قيادة المراه 🙏🇸🇦",neg
"#مع_او_ضد_عمل_وقياده_المراه
 الأمير عبدالله الفيصل رحمه الله يقول
 المرأه السعوديه ربه البيت هي أفضل عندي من المرأه الموظفه في الأعمال المختلطه وهي أفضل من الجندي في الميدان لانها هي من ستربي الجيل القادم
 
 ويحذر بأن الا يقبل الشعب قيادة المرأه للسياره https://t.co/VQt2s0oMnX",neg
"#مع_او_ضد_عمل_وقياده_المراه
 اكيد مع قيادة المرأه تغيرت الحياة وتغيرت مطالبها واصبحت المرأه بحاجه ماسه للقيادة .. وافضل من ان تركب مع رجل اجنبي .",neg
"#مع_او_ضد_عمل_وقياده_المراه
 اصلا ليس مهم قيادة السياره 
 فيه اخوه وفيه سواقين محترمين 
 والسواقه باب رزق لهم 
 وشهوله نترس الشوارع سيارات 
 
 ونساهم في التلوث( البيئي ) مافكرتم 
 فيها ذي؟!؟",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 من اسباب عدم الرضاء عن قيادة الحريم
 
 1- خروج المرآه من البيت بدون محرم
 2- خروجها من البيت بكثره وبدون سبب
 3- خروجها من البيت بدون الأذن من زوجها
 
 من اسباب عدم الرضاء بتوضيفها
 
 1- الاختلاط مع الرجال والجلوس معهم
 2- التفرغ للعمل وترك شغل البيت والاطفال",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 ليس قيادة المرأة بعينها حرام مثل انها تلف الدركسون اوً تعشق القير بل م يترتب على ذلك من مفاسد هو الحرام ..
 
 هذا كلام الشيخ ابن عثيمين او بن باز ..
 البحث خير دليل وبرهان",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 ضد وبقوه 
 ماخلوا سوبر ماركت ولا رصيف الا ارتكبوه 
 سأكون مع قيادة المرأه في حاله وحده ! ان طُلب مني قولها قلتها .",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 ضد قياده المراه",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 ضد قيادة وعمل المراة #رجعية عادي",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 انا كاأنثى سعودية ارفض أن اقود السيارة وان اذهب بها الى اماكن الفسق والفجور عفتي فوق وحيائي فوق كل شيء ، ولو أردت أن أقود فلا أجمل من قيادة زمام الامور في بيتي 🙏🏻💘",neg
"#مع_او_ضد_عمل_وقياده_المراه
 
 انا ضد قيادة المرأه لان كثرت الحوادث والوفيات من اللي ضد المرأه .؟؟",neg
#مع_او_ضد_عمل_وقياده_المراه لو بيدي لاعمل ولا قياده انطقي بالبيت,neg
#مع_او_ضد_عمل_وقياده_المراه لا قياده ولا عمل.. وأنا رحت فين.. اوصلها واصرف عليها.. وهيا تقعد في البيت تشوف طلباتي داخل غرفة النوم وخارجها,neg
#مع_او_ضد_عمل_وقياده_المراه جابت العيد انا ضد قياده المرأه 😂😂😂 https://t.co/qgrXVZ7YtQ,neg
#مع_او_ضد_عمل_وقياده_المراه بالنسبه لعمل المرأه في مكان غير مختلط بالرجال انا مع هذا القرار. قياده المرأه للسياره مع أنه لا يعتبر ظاهره مجموعه قليله فقط اللي رأيتهم لكن أنا ضد للأسف أكثرهن لا يتغطون مع مكياج فهذا مع الوقت قد يحصل مالا يحمد عقباه,neg
#مع_او_ضد_عمل_وقياده_المراه بالنسبة لنا ماعندنا وظيفة للمراة إلا التدريس وبخصوص قيادة المرأة حنا رياجيل ونخدم أهلنا بنفسنا .,neg
"#مع_او_ضد_عمل_وقياده_المراه المراءة العاقلة عملها في بيتها
 وقيادتها لمنزلها خير من قيادة ألف بنتلي https://t.co/qApbzIJG6A",neg
#مع_او_ضد_عمل_وقياده_المراه اللهم رد عبدك محمد بن نايف ونا ضد قيادة المرأه حنا مع ولد نايف,neg
#مع_او_ضد_عمل_وقياده_المراه اكيد ضد قيادة المراه رغم الجنس,neg
"#مع_او_ضد_عمل_وقياده_المراه 
 كل الشعب السعودي ولله الحمد 
 ضد الاختلاط بين الرجال والنساء 
 وضد قيادة المرأة للسيارة 
 لأن الشعب السعودي شعب إسلامي 
 قد تربى على الكتاب والسنة المطهرة",neg
"#مع_او_ضد_عمل_وقياده_المراه 
 قيادة المراءة ممنوع وحرام ... الخ هذا قول البعض
 
 طيب عن نفسي صراحة زوجتي وبنتي رافضين وأكبر سبب هو سوء تربية البعض وقلة حياءهم ومن لا شرف لهم ولا عِرض
 
 السبب الأخر بفضل الله منذ زواجي من 26 سنه لم أجعلهن يحتجن 
 
 أكرم أهل بيتك يكرمونك حتى بعد مماتك",neg
"#مع_او_ضد_عمل_وقياده_المراه 
 
 انا ضد قيادة المرأة بكل المقاييس وتحت أي ضرف … وهناك قرار حيصدر قريبًا بإلغاء هذا القرار .",neg
"""مع_او_ضد_عمل_وقياده_المراه : أناضدقيادة المرأه للسياره ،١-فيها تعريض للمرأة لكثير من المخاطر لا يتسع المجال لذكرها ولا تخفى على عاقل .٢- قيادة المرأة للسيارة ذريعة للكثيرات لكثرة الخروج من البيت بلا حاجة ، مخالفات بذلك أوامر الله .٣-• القيادة فيها شيء من الامتهان للمرأة .""",neg
هذا الزعيم بإختصار#رساله_لاعداء_محمد_بن_سلمان https://t.co/sH5S6tAbxG,pos
هذا الأسد عز للاسلام والمسلمين ولن تستطيعوا النيل منه حفظك الله ياسيدي ورعاك #رساله_لاعداء_محمد_بن_سلمان,pos
"نحن 🇸🇦 نرضع أطفالنا حب سلمان 🇸🇦
 #رساله_لاعداء_محمد_بن_سلمان https://t.co/7geVPg9hij",pos
موتوابغيضكم لابعث أبوكم عاش أبوسلمان ومن سنده شعب السعودية العظمى لايكرم ولأيهان ماعظمه من شعب ولله الحمدوالمنه الله اللي عزنامال أحدمنه #رساله_لاعداء_محمد_بن_سلمان,pos
موتوا بغيظكم #رساله_لاعداء_محمد_بن_سلمان 🇸🇦حفظ الله زعيم الشرق الأوسط الأمير الهمام الشهم المقدام محمد بن سلمان آل سعود 🇸🇦,pos
موتن قهر #رساله_لاعداء_محمد_بن_سلمان,pos
مهما فعل المرتزقه وحاولو تشويه سمعة محمد بن سلمان والله ثم والله ثم والله انهم يزيدوننا حباً للأمير محمد والأحداث التى حصلت وتسببت بهاقطر زادتنا تمسك به وحباًله ونحن تحت امره #رساله_لاعداء_محمد_بن_سلمان,pos
"مستعدون للموت والتضحية بأنفسنا وأبناءنا وأموالنا من أجل هذا البطل المقدام ، حفظه الله وأطال في عمره على طاعته ووفقه لما يحب ربنا ريرضى . #رساله_لاعداء_محمد_بن_سلمان",pos
"كلنا سلمان ..كلنا محمد بن سلمان .. الله يعزهم ..💚
 
 #رساله_لاعداء_محمد_بن_سلمان",pos
"كل محاربوه زادت محبتنا له
 وتثبتون انه رجل المستقبل المشرق بأذن الله
 نعم كلنا محمد بن سلمان
 الدار دارنا والامير اميرنا ونحطه بعيوننا فلتمتوا بحقدكم وغيظكم
 #رساله_لاعداء_محمد_بن_سلمان",pos
"في ذمتنا لهم بيعه
 وهذا الوطن لا نبيعه
 
 #رساله_لاعداء_محمد_بن_سلمان https://t.co/IyhSRNvIlM",pos
"عسى الله يحفظه ويطول في عمره ❤️
 #رساله_لاعداء_محمد_بن_سلمان https://t.co/pzl71KpVoI",pos
عساكم دايم منه موجعين 🇸🇦 #رساله_لاعداء_محمد_بن_سلمان,pos
"شغل الدنيا باسرها شرقها وغربها جنوبها و شمالها عربها وعجمها، هذا الشاب البطل الطموح العربي الهمام اصبح ملهم الشباب العربي المقهور من تخاذل عواجيز الستينات الذي يحكم معظم بلاد الامة العربيةولطالما كان الغرب يخشى من شرارة توقض الأمةالعربية من سباتها 
 
 رساله_لاعداء_محمد_بن_سلمان",pos
"شعبنا اكبر من هقاويكم و حنا فوق
 فوق
 
 والوطن دونه حياض الموت ناردها جموع
 
 خبتم و خابت مساعيكم ... 
 
 #رساله_لاعداء_محمد_بن_سلمان",pos
"سنستمر في محبته ودعمه ونحن جيشه واعوانه وستقبعون في حسدكم وذلكم وخستكم وارهابكم حتى تموتون كمداً.
 #رساله_لاعداء_محمد_بن_سلمان",pos
سر و ونحنٌ على خطاك سيدي 🇸🇦#رساله_لاعداء_محمد_بن_سلمان,pos
خبتم وخابت مساعيكم... جبال طويق راسية بفضل الله وبقوته... إلى الأمام يابو سلمان الله يسدد خطاك.. #رساله_لاعداء_محمد_بن_سلمان,pos
حفظك الله يا سيدي #رساله_لاعداء_محمد_بن_سلمان,pos
"حاكم ولد حاكم ولاهمه انسان
 والله ليلعن خيرهم كلبوهم
 
 هذا محمد والاسد ذاك سلمان
 ومن عادة الاشبال تقليد ابوهم 
 #رساله_لاعداء_محمد_بن_سلمان https://t.co/C1Y0B7rZax",pos
انت روح الشباب الله يحفظك لنا جميعاً .. #رساله_لاعداء_محمد_بن_سلمان,pos
اللهم احفظ ولي العهد محمد بن سلمان قاهر الاعداء انه السيف البتار اطال الله بعمره وحقق مساعيه ونصره على من عاداه🇸🇦🇸🇦🇸🇦🇸🇦💚#رساله_لاعداء_محمد_بن_سلمان,pos
الله يطول بعمره ويزيدهم قهر #رساله_لاعداء_محمد_بن_سلمان,pos
الله يحفظه ويبعد عنه كل شررر #رساله_لاعداء_محمد_بن_سلمان https://t.co/0QMEP5Rr0N,pos
الشعب السعودي الوفى عرف مخططكم ياعيال الكلب والهدف تدمير الوطن ولكن نقول لكم كلما زاد نباحكم كلما زدنا حباً ووطنية #رساله_لاعداء_محمد_بن_سلمان,pos
الشامخ احنى فداء للعيونه #رساله_لاعداء_محمد_بن_سلمان https://t.co/j7IrzGeg5i,pos
استودعناه الله الذي لا تضيع ودائعه ❤️ #رساله_لاعداء_محمد_بن_سلمان https://t.co/S1uGwjM4gL,pos
